Infinitive,просла́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,просла́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,просла́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,просла́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,просла́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,просла́влю
2nd Sing,просла́вишь
3rd Sing,просла́вит
1st Pl,просла́вим
2nd Pl,просла́вите
3rd Pl,просла́вят
Past M,просла́вил
Past F,просла́вила
Past N,просла́вило
Past PL,просла́вили
Imp S,просла́вь
Imp PL,просла́вьте
