Infinitive,пристёгивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пристёгивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пристёгивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пристёгиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пристёгивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,пристёгивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,пристёгивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,пристёгиваю
2nd Sing,пристёгиваешь
3rd Sing,пристёгивает
1st Pl,пристёгиваем
2nd Pl,пристёгиваете
3rd Pl,пристёгивают
Past M,пристёгивал
Past F,пристёгивала
Past N,пристёгивало
Past PL,пристёгивали
Imp S,пристёгивай
Imp PL,пристёгивайте
