Infinitive,проде́лывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,проде́лывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,проде́лывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,проде́лываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,проде́лывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,проде́лывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,проде́лывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,проде́лываю
2nd Sing,проде́лываешь
3rd Sing,проде́лывает
1st Pl,проде́лываем
2nd Pl,проде́лываете
3rd Pl,проде́лывают
Past M,проде́лывал
Past F,проде́лывала
Past N,проде́лывало
Past PL,проде́лывали
Imp S,проде́лывай
Imp PL,проде́лывайте
