Infinitive,приде́рживать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,приде́рживающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,приде́рживавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,приде́рживаемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,приде́рживая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,приде́рживав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,приде́рживавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,приде́рживаю
2nd Sing,приде́рживаешь
3rd Sing,приде́рживает
1st Pl,приде́рживаем
2nd Pl,приде́рживаете
3rd Pl,приде́рживают
Past M,приде́рживал
Past F,приде́рживала
Past N,приде́рживало
Past PL,приде́рживали
Imp S,приде́рживай
Imp PL,приде́рживайте
