Infinitive,проучи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,проучи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проу́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,проучи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,проучи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,проучу́
2nd Sing,проу́чишь
3rd Sing,проу́чит
1st Pl,проу́чим
2nd Pl,проу́чите
3rd Pl,проу́чат
Past M,проучи́л
Past F,проучи́ла
Past N,проучи́ло
Past PL,проучи́ли
Imp S,проучи́
Imp PL,проучи́те
