Infinitive,проду́мать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,проду́мавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проду́манный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,проду́мав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,проду́мавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,проду́маю
2nd Sing,проду́маешь
3rd Sing,проду́мает
1st Pl,проду́маем
2nd Pl,проду́маете
3rd Pl,проду́мают
Past M,проду́мал
Past F,проду́мала
Past N,проду́мало
Past PL,проду́мали
Imp S,проду́май
Imp PL,проду́майте
