Infinitive,преподнести́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,преподнёсший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,преподнесённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,преподнеся́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,преподнёсши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,преподнесу́
2nd Sing,преподнесёшь
3rd Sing,преподнесёт
1st Pl,преподнесём
2nd Pl,преподнесёте
3rd Pl,преподнесу́т
Past M,преподнёс
Past F,преподнесла́
Past N,преподнесло́
Past PL,преподнесли́
Imp S,преподнеси́
Imp PL,преподнеси́те
