Infinitive,просты́ть
Zaliznyak Class,15a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,просты́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,просты́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,просты́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,просты́ну
2nd Sing,просты́нешь
3rd Sing,просты́нет
1st Pl,просты́нем
2nd Pl,просты́нете
3rd Pl,просты́нут
Past M,просты́л
Past F,просты́ла
Past N,просты́ло
Past PL,просты́ли
Imp S,просты́нь
Imp PL,просты́ньте
