Infinitive,присоединя́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,присоединя́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,присоединя́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,присоединя́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,присоединя́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,присоединя́юсь
2nd Sing,присоединя́ешься
3rd Sing,присоединя́ется
1st Pl,присоединя́емся
2nd Pl,присоединя́етесь
3rd Pl,присоединя́ются
Past M,присоединя́лся
Past F,присоединя́лась
Past N,присоединя́лось
Past PL,присоединя́лись
Imp S,присоединя́йся
Imp PL,присоединя́йтесь
