Infinitive,пропа́хнуть
Zaliznyak Class,3°a[⑥]
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пропа́хший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,пропа́хнувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пропа́хнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пропа́хши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пропа́хну
2nd Sing,пропа́хнешь
3rd Sing,пропа́хнет
1st Pl,пропа́хнем
2nd Pl,пропа́хнете
3rd Pl,пропа́хнут
Past M,пропа́х
Past F,пропа́хла
Past N,пропа́хло
Past PL,пропа́хли
Imp S,пропа́хни
Imp PL,пропа́хните
