Infinitive,предпринима́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,предпринима́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,предпринима́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,предпринима́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,предпринима́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,предпринима́юсь
2nd Sing,предпринима́ешься
3rd Sing,предпринима́ется
1st Pl,предпринима́емся
2nd Pl,предпринима́етесь
3rd Pl,предпринима́ются
Past M,предпринима́лся
Past F,предпринима́лась
Past N,предпринима́лось
Past PL,предпринима́лись
Imp S,предпринима́йся
Imp PL,предпринима́йтесь
