Infinitive,прослы́ть
Zaliznyak Class,16b/c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,прослы́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прослы́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,прослы́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,прослыву́
2nd Sing,прослывёшь
3rd Sing,прослывёт
1st Pl,прослывём
2nd Pl,прослывёте
3rd Pl,прослыву́т
Past M,прослы́л
Past F,прослыла́
Past N,прослы́ло
Past PL,прослы́ли
Imp S,прослыви́
Imp PL,прослыви́те
