Infinitive,привы́кнуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,привы́кший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,привы́кши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,привы́кну
2nd Sing,привы́кнешь
3rd Sing,привы́кнет
1st Pl,привы́кнем
2nd Pl,привы́кнете
3rd Pl,привы́кнут
Past M,привы́к
Past F,привы́кла
Past N,привы́кло
Past PL,привы́кли
Imp S,привы́кни
Imp PL,привы́кните
