Infinitive,прищу́рить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прищу́ривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прищу́ренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прищу́рив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прищу́ривши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прищу́рю
2nd Sing,прищу́ришь
3rd Sing,прищу́рит
1st Pl,прищу́рим
2nd Pl,прищу́рите
3rd Pl,прищу́рят
Past M,прищу́рил
Past F,прищу́рила
Past N,прищу́рило
Past PL,прищу́рили
Imp S,прищу́рь
Imp PL,прищу́рьте
