Infinitive,просчита́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,просчита́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,просчи́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,просчита́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,просчита́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,просчита́ю
2nd Sing,просчита́ешь
3rd Sing,просчита́ет
1st Pl,просчита́ем
2nd Pl,просчита́ете
3rd Pl,просчита́ют
Past M,просчита́л
Past F,просчита́ла
Past N,просчита́ло
Past PL,просчита́ли
Imp S,просчита́й
Imp PL,просчита́йте
