Infinitive,приплы́ть
Zaliznyak Class,16b/c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,приплы́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приплы́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,приплы́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,приплыву́
2nd Sing,приплывёшь
3rd Sing,приплывёт
1st Pl,приплывём
2nd Pl,приплывёте
3rd Pl,приплыву́т
Past M,приплы́л
Past F,приплыла́
Past N,приплы́ло
Past PL,приплы́ли
Imp S,приплыви́
Imp PL,приплыви́те
