Infinitive,приползти́
Zaliznyak Class,7b/b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,припо́лзший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,припо́лзши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,приползу́
2nd Sing,приползёшь
3rd Sing,приползёт
1st Pl,приползём
2nd Pl,приползёте
3rd Pl,приползу́т
Past M,припо́лз
Past F,приползла́
Past N,приползло́
Past PL,приползли́
Imp S,приползи́
Imp PL,приползи́те
