Infinitive,преобража́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,преобража́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,преобража́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,преобража́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,преобража́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,преобража́юсь
2nd Sing,преобража́ешься
3rd Sing,преобража́ется
1st Pl,преобража́емся
2nd Pl,преобража́етесь
3rd Pl,преобража́ются
Past M,преобража́лся
Past F,преобража́лась
Past N,преобража́лось
Past PL,преобража́лись
Imp S,преобража́йся
Imp PL,преобража́йтесь
