Infinitive,просма́тривать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,просма́тривающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,просма́тривавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,просма́триваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,просма́тривая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,просма́тривав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,просма́тривавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,просма́триваю
2nd Sing,просма́триваешь
3rd Sing,просма́тривает
1st Pl,просма́триваем
2nd Pl,просма́триваете
3rd Pl,просма́тривают
Past M,просма́тривал
Past F,просма́тривала
Past N,просма́тривало
Past PL,просма́тривали
Imp S,просма́тривай
Imp PL,просма́тривайте
