Infinitive,прошиби́ть
Zaliznyak Class,irreg-b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прошиби́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проши́бленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прошиби́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прошиби́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прошибу́
2nd Sing,прошибёшь
3rd Sing,прошибёт
1st Pl,прошибём
2nd Pl,прошибёте
3rd Pl,прошибу́т
Past M,проши́б
Past F,проши́бла
Past N,проши́бло
Past PL,проши́бли
Imp S,прошиби́
Imp PL,прошиби́те
