Infinitive,притро́нуться
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,притро́нувшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,притро́нувшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,притро́нусь
2nd Sing,притро́нешься
3rd Sing,притро́нется
1st Pl,притро́немся
2nd Pl,притро́нетесь
3rd Pl,притро́нутся
Past M,притро́нулся
Past F,притро́нулась
Past N,притро́нулось
Past PL,притро́нулись
Imp S,притро́нься
Imp PL,притро́ньтесь
