Infinitive,проду́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,проду́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проду́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,проду́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,проду́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,проду́ю
2nd Sing,проду́ешь
3rd Sing,проду́ет
1st Pl,проду́ем
2nd Pl,проду́ете
3rd Pl,проду́ют
Past M,проду́л
Past F,проду́ла
Past N,проду́ло
Past PL,проду́ли
Imp S,проду́й
Imp PL,проду́йте
