Infinitive,прице́литься
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прице́лившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прице́лившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,прице́люсь
2nd Sing,прице́лишься
3rd Sing,прице́лится
1st Pl,прице́лимся
2nd Pl,прице́литесь
3rd Pl,прице́лятся
Past M,прице́лился
Past F,прице́лилась
Past N,прице́лилось
Past PL,прице́лились
Imp S,прице́лься
Imp PL,прице́льтесь
