Infinitive,просия́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,просия́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,просия́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,просия́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,просия́ю
2nd Sing,просия́ешь
3rd Sing,просия́ет
1st Pl,просия́ем
2nd Pl,просия́ете
3rd Pl,просия́ют
Past M,просия́л
Past F,просия́ла
Past N,просия́ло
Past PL,просия́ли
Imp S,просия́й
Imp PL,просия́йте
