Infinitive,пропа́сть
Zaliznyak Class,7b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пропа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пропа́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,пропа́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,пропаду́
2nd Sing,пропадёшь
3rd Sing,пропадёт
1st Pl,пропадём
2nd Pl,пропадёте
3rd Pl,пропаду́т
Past M,пропа́л
Past F,пропа́ла
Past N,пропа́ло
Past PL,пропа́ли
Imp S,пропади́
Imp PL,пропади́те
