Infinitive,продвига́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,продвига́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,продвига́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,продвига́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,продвига́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,продвига́юсь
2nd Sing,продвига́ешься
3rd Sing,продвига́ется
1st Pl,продвига́емся
2nd Pl,продвига́етесь
3rd Pl,продвига́ются
Past M,продвига́лся
Past F,продвига́лась
Past N,продвига́лось
Past PL,продвига́лись
Imp S,продвига́йся
Imp PL,продвига́йтесь
