Infinitive,проли́ть
Zaliznyak Class,11b/c[①]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,проли́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,про́литый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,проли́тый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,проли́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,проли́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,пролью́
2nd Sing,прольёшь
3rd Sing,прольёт
1st Pl,прольём
2nd Pl,прольёте
3rd Pl,пролью́т
Past M,про́лил
Past F,пролила́
Past N,про́лило
Past PL,про́лили
Imp S,проле́й
Imp PL,проле́йте
