Infinitive,приключи́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,приключи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приключи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,приключу́сь
2nd Sing,приключи́шься
3rd Sing,приключи́тся
1st Pl,приключи́мся
2nd Pl,приключи́тесь
3rd Pl,приключа́тся
Past M,приключи́лся
Past F,приключи́лась
Past N,приключи́лось
Past PL,приключи́лись
Imp S,приключи́сь
Imp PL,приключи́тесь
