Infinitive,продви́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,продви́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,продви́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,продви́нув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,продви́нувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,продви́ну
2nd Sing,продви́нешь
3rd Sing,продви́нет
1st Pl,продви́нем
2nd Pl,продви́нете
3rd Pl,продви́нут
Past M,продви́нул
Past F,продви́нула
Past N,продви́нуло
Past PL,продви́нули
Imp S,продви́нь
Imp PL,продви́ньте
