Infinitive,преувели́чивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,преувели́чивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,преувели́чивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,преувели́чиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,преувели́чивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,преувели́чивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,преувели́чивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,преувели́чиваю
2nd Sing,преувели́чиваешь
3rd Sing,преувели́чивает
1st Pl,преувели́чиваем
2nd Pl,преувели́чиваете
3rd Pl,преувели́чивают
Past M,преувели́чивал
Past F,преувели́чивала
Past N,преувели́чивало
Past PL,преувели́чивали
Imp S,преувели́чивай
Imp PL,преувели́чивайте
