Infinitive,пропи́ть
Zaliznyak Class,11b/c[①]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пропи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,про́питый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,пропи́тый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,пропи́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,пропи́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,пропью́
2nd Sing,пропьёшь
3rd Sing,пропьёт
1st Pl,пропьём
2nd Pl,пропьёте
3rd Pl,пропью́т
Past M,про́пил
Past F,пропила́
Past N,про́пило
Past PL,про́пили
Imp S,пропе́й
Imp PL,пропе́йте
