Infinitive,пробежа́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пробежа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пробежа́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,пробежа́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,пробегу́
2nd Sing,пробежи́шь
3rd Sing,пробежи́т
1st Pl,пробежи́м
2nd Pl,пробежи́те
3rd Pl,пробегу́т
Past M,пробежа́л
Past F,пробежа́ла
Past N,пробежа́ло
Past PL,пробежа́ли
Imp S,пробеги́
Imp PL,пробеги́те
