Infinitive,приучи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,приучи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приу́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,приучи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,приучи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,приучу́
2nd Sing,приу́чишь
3rd Sing,приу́чит
1st Pl,приу́чим
2nd Pl,приу́чите
3rd Pl,приу́чат
Past M,приучи́л
Past F,приучи́ла
Past N,приучи́ло
Past PL,приучи́ли
Imp S,приучи́
Imp PL,приучи́те
