Infinitive,протащи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,протащи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прота́щенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,протащи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,протащи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,протащу́
2nd Sing,прота́щишь
3rd Sing,прота́щит
1st Pl,прота́щим
2nd Pl,прота́щите
3rd Pl,прота́щат
Past M,протащи́л
Past F,протащи́ла
Past N,протащи́ло
Past PL,протащи́ли
Imp S,протащи́
Imp PL,протащи́те
