Infinitive,просуши́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,просуши́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,просу́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,просуши́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,просуши́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,просушу́
2nd Sing,просу́шишь
3rd Sing,просу́шит
1st Pl,просу́шим
2nd Pl,просу́шите
3rd Pl,просу́шат
Past M,просуши́л
Past F,просуши́ла
Past N,просуши́ло
Past PL,просуши́ли
Imp S,просуши́
Imp PL,просуши́те
