Infinitive,проткну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,проткну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,про́ткнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,проткну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,проткну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,проткну́
2nd Sing,проткнёшь
3rd Sing,проткнёт
1st Pl,проткнём
2nd Pl,проткнёте
3rd Pl,проткну́т
Past M,проткну́л
Past F,проткну́ла
Past N,проткну́ло
Past PL,проткну́ли
Imp S,проткни́
Imp PL,проткни́те
