Infinitive,прицепи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прицепи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прице́пленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прицепи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прицепи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прицеплю́
2nd Sing,прице́пишь
3rd Sing,прице́пит
1st Pl,прице́пим
2nd Pl,прице́пите
3rd Pl,прице́пят
Past M,прицепи́л
Past F,прицепи́ла
Past N,прицепи́ло
Past PL,прицепи́ли
Imp S,прицепи́
Imp PL,прицепи́те
