Infinitive,прила́дить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прила́дивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прила́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прила́див
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прила́дивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прила́жу
2nd Sing,прила́дишь
3rd Sing,прила́дит
1st Pl,прила́дим
2nd Pl,прила́дите
3rd Pl,прила́дят
Past M,прила́дил
Past F,прила́дила
Past N,прила́дило
Past PL,прила́дили
Imp S,прила́дь
Imp PL,прила́дьте
