Infinitive,прильну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,прильну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прильну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,прильну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,прильну́
2nd Sing,прильнёшь
3rd Sing,прильнёт
1st Pl,прильнём
2nd Pl,прильнёте
3rd Pl,прильну́т
Past M,прильну́л
Past F,прильну́ла
Past N,прильну́ло
Past PL,прильну́ли
Imp S,прильни́
Imp PL,прильни́те
