Infinitive,пробежа́ться
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пробежа́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пробежа́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,пробегу́сь
2nd Sing,пробежи́шься
3rd Sing,пробежи́тся
1st Pl,пробежи́мся
2nd Pl,пробежи́тесь
3rd Pl,пробегу́тся
Past M,пробежа́лся
Past F,пробежа́лась
Past N,пробежа́лось
Past PL,пробежа́лись
Imp S,пробеги́сь
Imp PL,пробеги́тесь
