Infinitive,простоя́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,простоя́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,просто́янный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,простоя́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,простоя́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,простою́
2nd Sing,простои́шь
3rd Sing,простои́т
1st Pl,простои́м
2nd Pl,простои́те
3rd Pl,простоя́т
Past M,простоя́л
Past F,простоя́ла
Past N,простоя́ло
Past PL,простоя́ли
Imp S,просто́й
Imp PL,просто́йте
