Infinitive,прибежа́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,прибежа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прибежа́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,прибежа́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,прибегу́
2nd Sing,прибежи́шь
3rd Sing,прибежи́т
1st Pl,прибежи́м
2nd Pl,прибежи́те
3rd Pl,прибегу́т
Past M,прибежа́л
Past F,прибежа́ла
Past N,прибежа́ло
Past PL,прибежа́ли
Imp S,прибеги́
Imp PL,прибеги́те
