Infinitive,предше́ствовать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,предше́ствующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,предше́ствовавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,предше́ствуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,предше́ствовав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,предше́ствовавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,предше́ствую
2nd Sing,предше́ствуешь
3rd Sing,предше́ствует
1st Pl,предше́ствуем
2nd Pl,предше́ствуете
3rd Pl,предше́ствуют
Past M,предше́ствовал
Past F,предше́ствовала
Past N,предше́ствовало
Past PL,предше́ствовали
Imp S,предше́ствуй
Imp PL,предше́ствуйте
