Infinitive,преобрази́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,преобрази́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,преображённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,преобрази́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,преобрази́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,преображу́
2nd Sing,преобрази́шь
3rd Sing,преобрази́т
1st Pl,преобрази́м
2nd Pl,преобрази́те
3rd Pl,преобразя́т
Past M,преобрази́л
Past F,преобрази́ла
Past N,преобрази́ло
Past PL,преобрази́ли
Imp S,преобрази́
Imp PL,преобрази́те
