Infinitive,предстоя́ть
Zaliznyak Class,5b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,предстоя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,предстоя́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,предстоя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,предстоя́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,предстоя́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,предстою́
2nd Sing,предстои́шь
3rd Sing,предстои́т
1st Pl,предстои́м
2nd Pl,предстои́те
3rd Pl,предстоя́т
Past M,предстоя́л
Past F,предстоя́ла
Past N,предстоя́ло
Past PL,предстоя́ли
Imp S,предсто́й
Imp PL,предсто́йте
