Infinitive,проконсульти́роваться
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,проконсульти́ровавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проконсульти́ровавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,проконсульти́руюсь
2nd Sing,проконсульти́руешься
3rd Sing,проконсульти́руется
1st Pl,проконсульти́руемся
2nd Pl,проконсульти́руетесь
3rd Pl,проконсульти́руются
Past M,проконсульти́ровался
Past F,проконсульти́ровалась
Past N,проконсульти́ровалось
Past PL,проконсульти́ровались
Imp S,проконсульти́руйся
Imp PL,проконсульти́руйтесь
