Infinitive,приободри́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,приободри́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приободри́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,приободрю́сь
2nd Sing,приободри́шься
3rd Sing,приободри́тся
1st Pl,приободри́мся
2nd Pl,приободри́тесь
3rd Pl,приободря́тся
Past M,приободри́лся
Past F,приободри́лась
Past N,приободри́лось
Past PL,приободри́лись
Imp S,приободри́сь
Imp PL,приободри́тесь
