Infinitive,приуро́чить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,приуро́чивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приуро́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,приуро́чив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,приуро́чивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,приуро́чу
2nd Sing,приуро́чишь
3rd Sing,приуро́чит
1st Pl,приуро́чим
2nd Pl,приуро́чите
3rd Pl,приуро́чат
Past M,приуро́чил
Past F,приуро́чила
Past N,приуро́чило
Past PL,приуро́чили
Imp S,приуро́чь
Imp PL,приуро́чьте
