Infinitive,пригля́дывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пригля́дывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пригля́дывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пригля́дывая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пригля́дывав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,пригля́дывавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,пригля́дываю
2nd Sing,пригля́дываешь
3rd Sing,пригля́дывает
1st Pl,пригля́дываем
2nd Pl,пригля́дываете
3rd Pl,пригля́дывают
Past M,пригля́дывал
Past F,пригля́дывала
Past N,пригля́дывало
Past PL,пригля́дывали
Imp S,пригля́дывай
Imp PL,пригля́дывайте
