Infinitive,приобрета́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,приобрета́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,приобрета́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,приобрета́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,приобрета́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,приобрета́юсь
2nd Sing,приобрета́ешься
3rd Sing,приобрета́ется
1st Pl,приобрета́емся
2nd Pl,приобрета́етесь
3rd Pl,приобрета́ются
Past M,приобрета́лся
Past F,приобрета́лась
Past N,приобрета́лось
Past PL,приобрета́лись
Imp S,приобрета́йся
Imp PL,приобрета́йтесь
