Infinitive,прерва́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прерва́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пре́рванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прерва́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прерва́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прерву́
2nd Sing,прервёшь
3rd Sing,прервёт
1st Pl,прервём
2nd Pl,прервёте
3rd Pl,прерву́т
Past M,прерва́л
Past F,прервала́
Past N,прерва́ло
Past PL,прерва́ли
Imp S,прерви́
Imp PL,прерви́те
