Infinitive,прерыва́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прерыва́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,прерыва́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прерыва́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,прерыва́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прерыва́юсь
2nd Sing,прерыва́ешься
3rd Sing,прерыва́ется
1st Pl,прерыва́емся
2nd Pl,прерыва́етесь
3rd Pl,прерыва́ются
Past M,прерыва́лся
Past F,прерыва́лась
Past N,прерыва́лось
Past PL,прерыва́лись
Imp S,прерыва́йся
Imp PL,прерыва́йтесь
