Infinitive,председа́тельствовать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,председа́тельствующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,председа́тельствовавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,председа́тельствуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,председа́тельствовав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,председа́тельствовавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,председа́тельствую
2nd Sing,председа́тельствуешь
3rd Sing,председа́тельствует
1st Pl,председа́тельствуем
2nd Pl,председа́тельствуете
3rd Pl,председа́тельствуют
Past M,председа́тельствовал
Past F,председа́тельствовала
Past N,председа́тельствовало
Past PL,председа́тельствовали
Imp S,председа́тельствуй
Imp PL,председа́тельствуйте
