Infinitive,прищу́риться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прищу́рившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прищу́рившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,прищу́рюсь
2nd Sing,прищу́ришься
3rd Sing,прищу́рится
1st Pl,прищу́римся
2nd Pl,прищу́ритесь
3rd Pl,прищу́рятся
Past M,прищу́рился
Past F,прищу́рилась
Past N,прищу́рилось
Past PL,прищу́рились
Imp S,прищу́рься
Imp PL,прищу́рьтесь
