Infinitive,прики́дываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прики́дывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,прики́дывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прики́дываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,прики́дывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прики́дываюсь
2nd Sing,прики́дываешься
3rd Sing,прики́дывается
1st Pl,прики́дываемся
2nd Pl,прики́дываетесь
3rd Pl,прики́дываются
Past M,прики́дывался
Past F,прики́дывалась
Past N,прики́дывалось
Past PL,прики́дывались
Imp S,прики́дывайся
Imp PL,прики́дывайтесь
