Infinitive,просну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,просну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,просну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,просну́сь
2nd Sing,проснёшься
3rd Sing,проснётся
1st Pl,проснёмся
2nd Pl,проснётесь
3rd Pl,просну́тся
Past M,просну́лся
Past F,просну́лась
Past N,просну́лось
Past PL,просну́лись
Imp S,просни́сь
Imp PL,просни́тесь
