Infinitive,привести́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,приве́дший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приведённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,приведя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,приве́дши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,приведу́
2nd Sing,приведёшь
3rd Sing,приведёт
1st Pl,приведём
2nd Pl,приведёте
3rd Pl,приведу́т
Past M,привёл
Past F,привела́
Past N,привело́
Past PL,привели́
Imp S,приведи́
Imp PL,приведи́те
