Infinitive,предусма́тривать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,предусма́тривающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,предусма́тривавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,предусма́триваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,предусма́тривая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,предусма́тривав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,предусма́тривавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,предусма́триваю
2nd Sing,предусма́триваешь
3rd Sing,предусма́тривает
1st Pl,предусма́триваем
2nd Pl,предусма́триваете
3rd Pl,предусма́тривают
Past M,предусма́тривал
Past F,предусма́тривала
Past N,предусма́тривало
Past PL,предусма́тривали
Imp S,предусма́тривай
Imp PL,предусма́тривайте
