Infinitive,продо́лжить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,продо́лживший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,продо́лженный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,продо́лжив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,продо́лживши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,продо́лжу
2nd Sing,продо́лжишь
3rd Sing,продо́лжит
1st Pl,продо́лжим
2nd Pl,продо́лжите
3rd Pl,продо́лжат
Past M,продо́лжил
Past F,продо́лжила
Past N,продо́лжило
Past PL,продо́лжили
Imp S,продо́лжи
Imp PL,продо́лжите
