Infinitive,прира́вниваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прира́внивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,прира́внивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прира́вниваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,прира́внивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прира́вниваюсь
2nd Sing,прира́вниваешься
3rd Sing,прира́внивается
1st Pl,прира́вниваемся
2nd Pl,прира́вниваетесь
3rd Pl,прира́вниваются
Past M,прира́внивался
Past F,прира́внивалась
Past N,прира́внивалось
Past PL,прира́внивались
Imp S,прира́внивайся
Imp PL,прира́внивайтесь
