Infinitive,прихора́шиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прихора́шивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,прихора́шивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прихора́шиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,прихора́шивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прихора́шиваюсь
2nd Sing,прихора́шиваешься
3rd Sing,прихора́шивается
1st Pl,прихора́шиваемся
2nd Pl,прихора́шиваетесь
3rd Pl,прихора́шиваются
Past M,прихора́шивался
Past F,прихора́шивалась
Past N,прихора́шивалось
Past PL,прихора́шивались
Imp S,прихора́шивайся
Imp PL,прихора́шивайтесь
