Infinitive,приласка́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,приласка́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прила́сканный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,приласка́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,приласка́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,приласка́ю
2nd Sing,приласка́ешь
3rd Sing,приласка́ет
1st Pl,приласка́ем
2nd Pl,приласка́ете
3rd Pl,приласка́ют
Past M,приласка́л
Past F,приласка́ла
Past N,приласка́ло
Past PL,приласка́ли
Imp S,приласка́й
Imp PL,приласка́йте
