Infinitive,проня́ть
Zaliznyak Class,14b/c①
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,проня́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,про́нятый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,проня́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,проня́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пройму́
2nd Sing,проймёшь
3rd Sing,проймёт
1st Pl,проймём
2nd Pl,проймёте
3rd Pl,пройму́т
Past M,про́нял
Past F,проняла́
Past N,про́няло
Past PL,про́няли
Imp S,пройми́
Imp PL,пройми́те
