Infinitive,прилага́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прилага́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,прилага́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прилага́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,прилага́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прилага́юсь
2nd Sing,прилага́ешься
3rd Sing,прилага́ется
1st Pl,прилага́емся
2nd Pl,прилага́етесь
3rd Pl,прилага́ются
Past M,прилага́лся
Past F,прилага́лась
Past N,прилага́лось
Past PL,прилага́лись
Imp S,прилага́йся
Imp PL,прилага́йтесь
